Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 1142676  Y 917676
X 1145826  Y 905078
X 1145826  Y 914527
X 1145826  Y 917676
X 1145826  Y 911377
X 1145826  Y 908228
X 1148976  Y 905078
X 1148976  Y 914527
X 1148976  Y 911377
X 1148976  Y 908228
X 1152125  Y 905078
X 1152125  Y 914527
X 1152125  Y 911377
X 1152125  Y 917676
X 1152125  Y 908228
X 1155275  Y 914527
X 1155275  Y 917676
X 1155300  Y 903600
X 1158394  Y 908215
X 1161575  Y 917676
X 1161575  Y 905078
X 1161594  Y 908215
X 1164724  Y 911377
X 1164724  Y 905078
X 1164724  Y 908228
X 1164724  Y 914527
X 1164724  Y 917676
X 1166647  Y 898652
X 1167874  Y 908228
X 1167874  Y 914527
X 1167874  Y 911377
X 1167874  Y 917676
X 1168553  Y 900551
X 1171023  Y 905078
X 1171023  Y 914527
X 1171023  Y 917676
X 1171023  Y 911377
X 1173653  Y 899951
X 1174173  Y 908228
X 1174173  Y 905078
X 1174173  Y 914527
X 1174173  Y 911377
X 1174173  Y 917676
X 1177323  Y 908228
X 1177323  Y 914527
X 1177323  Y 911377
X 1177323  Y 905078
X 1177323  Y 917676
X 1180472  Y 917676
X 1180472  Y 908228
X 1180472  Y 905078
X 1180472  Y 914527
X 1180472  Y 911377
X 1183622  Y 914527
X 1183622  Y 917676
X 1183622  Y 911377
X 1183622  Y 908228
X 1183622  Y 905078
X 1186771  Y 917676
X 1186771  Y 914527
X 1189921  Y 905078
X 1189921  Y 911377
X 1189921  Y 908228
X 1189921  Y 917676
X 1190851  Y 900497
X 1193051  Y 899597
X 1195800  Y 917700
X 1201718  Y 903989
X 1201718  Y 911689
X 1205246  Y 911248
X 1206353  Y 916846
X 1206851  Y 914497
X 1209946  Y 912648
X 1212146  Y 898348
X 1216051  Y 905597
X 1216153  Y 916846
X 1277753  Y 917351
X 1281253  Y 919551
X 1294000  Y 913000
X 1294000  Y 900500
X 1294000  Y 910500
X 1299000  Y 913000
X 1299000  Y 910500
X 1299000  Y 900500
X 1309753  Y 902351
X 1318353  Y 899051
X 1338000  Y 914000
X 1340953  Y 905151
X 1351353  Y 918601
X 1360694  Y 928215
X 1360694  Y 930615
X 1358694  Y 928215
X 1358694  Y 930615
X 1343553  Y 923801
X 1338600  Y 925000
X 1336403  Y 931601
X 1329903  Y 941351
X 1313353  Y 934951
X 1299500  Y 936000
X 1299000  Y 922500
X 1294000  Y 922500
X 1288000  Y 932401
X 1286453  Y 923151
X 1285653  Y 937451
X 1285253  Y 934751
X 1283653  Y 939751
X 1283456  Y 929489
X 1281753  Y 933651
X 1279853  Y 925151
X 1279603  Y 943851
X 1277553  Y 941751
X 1277253  Y 923051
X 1272853  Y 944751
X 1246234  Y 927911
X 1243800  Y 934300
X 1242615  Y 923189
X 1240252  Y 926178
X 1238448  Y 924096
X 1236384  Y 931852
X 1235202  Y 921614
X 1233148  Y 934796
X 1232448  Y 920796
X 1231651  Y 924297
X 1226648  Y 937339
X 1222671  Y 939469
X 1220661  Y 941799
X 1218653  Y 943739
X 1218596  Y 932084
X 1210700  Y 921198
X 1210353  Y 924946
X 1207851  Y 922846
X 1200800  Y 925900
X 1200153  Y 944951
X 1199000  Y 924000
X 1196299  Y 925551
X 1195047  Y 920823
X 1193868  Y 932489
X 1193471  Y 928698
X 1191503  Y 922398
X 1189926  Y 939723
X 1189921  Y 936575
X 1189921  Y 942874
X 1189921  Y 920826
X 1186776  Y 939723
X 1186771  Y 942874
X 1186771  Y 923976
X 1186771  Y 920826
X 1186771  Y 930275
X 1186771  Y 936575
X 1183682  Y 930275
X 1183626  Y 939723
X 1183622  Y 927125
X 1183622  Y 920826
X 1183622  Y 936575
X 1183622  Y 942874
X 1183622  Y 923976
X 1180472  Y 920826
X 1180472  Y 927125
X 1180472  Y 930275
X 1180472  Y 923976
X 1180472  Y 939724
X 1180472  Y 942874
X 1180472  Y 936575
X 1177323  Y 923976
X 1177323  Y 920826
X 1177323  Y 927125
X 1177323  Y 936575
X 1177323  Y 942874
